"ID.de.la.réponse","J'achète exclusivement des produits issus de circuits courts, ce qui peut impliquer de rechercher les producteurs locaux, de découvrir de nouveaux aliments, de renoncer aux produits exotiques (avocats, bananes, ananas), etc.","Je renonce systématiquement à ma voiture quand je me déplace sur des courtes distances, au profit des transport en commun (tram, métro, bus) ou mobilités douces (marche, vélo), ce qui peut impliquer un trajet plus long ou plus fatigant, de devoir planifier en avance ses trajets, etc.","J'achète uniquement des produits sans emballages (vrac) ce qui peut impliquer une réduction de mes choix, de devoir emmener mes contenants pour faire les courses, etc.","Je n'utilise pas d'IA génératives comme chatGPT qui consomment énormément d’énergie ce qui implique de devoir chercher par moi-même des informations et solutions à mes problèmes sur internet, d’être créatif, de prendre plus de temps à réaliser une tâche, etc.","Je ne prends jamais l'avion ce qui peut impliquer de ne plus faire de vacances à l'étranger, etc.","Je consomme uniquement des produits alimentaires de saison, ce qui peut impliquer de renoncer, à la maison comme au restaurant, aux fruits, légumes ou poissons hors saison (par exemple, les agrumes en été ou les tomates en hiver), etc.","J'utilise uniquement des accessoires ou ustensiles manuels ou non électriques, ce qui peut impliquer par exemples de râper des carottes, fouetter des œufs, pétrir une pâte manuellement, etc.","Je baisse la température ambiante de chez moi de 1°C ce qui peut impliquer de me couvrir d'une couche supplémentaire, etc.","Je ne prends jamais ma voiture seul.e sur de longues distances, et par conséquent je voyage en train, en car ou en covoiturage, ce qui peut impliquer d'être contraint sur mes horaires, de rallonger mon trajet, de sacrifier un peu de mon intimité, etc.","Je renonce à la consommation de tout produit lié à la déforestation : café, cacao, coton, huile de palme, ce qui implique de privilégier des alternatives durables (comme le café d’orge) et d’exclure la consommation de viande issue d’élevages intensifs nourris au soja importé, y compris au restaurant et dans les fast food.","Je n'achète pas d'objets neufs pour le matériel que j'utilise peu fréquemment, ce qui implique de le louer, l’emprunter ou le partager (entre voisins par exemple), de me déplacer pour aller le chercher, d'accepter que le matériel ne soit pas toujours disponible ou en parfait état, etc.","J'adopte un régime alimentaire strictement végétal ce qui peut impliquer de devoir me passer de mes aliments préférés, que mes choix soient réduits lorsque je mange en extérieur, etc.","J'achète uniquement des vêtements de seconde main ce qui peut impliquer de ne pas toujours trouver le style d'habits qui me plaît, etc.","J'éteins les appareils branchés (type box wifi, télé) au lieu de les laisser en veille ce qui peut impliquer qu'il faut y penser tous les soirs, à chaque vacance, etc."
5,1,2,3,4,5,6,7,8,9,10,11,12,13,14
8,7,6,11,8,10,2,14,1,9,12,3,5,4,13
17,3,4,10,8,11,1,13,5,2,14,9,12,6,7
18,7,2,14,12,13,5,9,4,1,10,11,8,3,6
21,3,4,11,6,12,2,9,1,7,5,14,8,13,10
22,4,8,13,1,6,2,10,5,11,9,14,3,7,12
23,10,2,9,1,14,5,4,6,3,11,13,8,12,7
25,11,1,10,6,9,2,3,7,8,13,4,12,14,5
27,5,13,8,2,6,3,10,1,12,7,11,9,4,14
28,8,3,9,7,14,2,12,1,13,11,4,10,6,5
30,12,3,6,1,2,10,9,5,4,13,8,14,7,11
31,3,9,6,12,14,1,8,5,7,13,2,4,10,11
39,8,5,11,10,1,3,7,9,2,13,12,14,4,6
41,11,6,8,10,4,2,3,1,12,5,9,14,13,7
44,12,5,11,2,7,6,4,8,3,14,10,13,9,1
45,7,1,12,14,2,9,6,3,5,10,4,13,8,11
46,12,2,11,7,10,8,5,1,4,9,6,13,14,3
48,14,2,11,8,5,4,6,9,7,13,3,12,10,1
52,14,9,4,1,7,3,11,2,13,5,12,10,6,8
54,4,8,6,9,5,2,13,1,12,11,7,14,10,3
59,9,8,5,12,14,2,4,7,11,1,6,13,10,3
67,2,10,7,3,12,6,13,1,5,11,4,14,9,8
68,3,2,8,12,11,4,6,1,9,13,10,14,7,5
69,9,2,4,10,13,3,5,1,14,11,8,12,7,6
72,4,14,1,3,11,6,2,9,10,5,13,12,7,8
73,11,5,4,10,14,2,7,9,3,6,8,12,1,13
74,11,10,6,4,2,8,14,1,13,7,3,12,9,5
82,4,7,10,1,3,14,9,13,5,8,6,12,2,11
84,2,6,8,10,14,5,9,7,3,12,11,13,4,1
88,7,10,8,13,9,3,4,1,2,11,14,12,6,5
90,7,9,10,13,14,1,6,2,12,5,11,8,3,4
93,4,9,8,11,12,2,7,1,5,13,6,14,10,3
94,8,3,5,1,11,7,4,2,10,13,9,14,6,12
97,7,4,8,12,14,6,11,5,3,2,10,1,13,9
98,7,8,5,11,12,2,3,1,10,14,6,13,9,4
100,11,1,13,14,4,7,9,2,8,10,3,12,6,5
101,8,1,10,14,13,6,5,4,2,9,7,12,11,3
105,12,5,13,8,4,3,2,6,9,10,7,14,11,1
107,8,13,7,3,2,11,6,1,9,14,12,10,5,4
108,11,3,9,7,4,10,14,2,8,12,6,5,13,1
114,10,7,5,6,14,2,8,4,9,12,3,13,11,1
116,9,5,12,4,2,8,14,1,11,10,3,6,13,7
117,12,2,13,1,3,11,14,8,10,5,4,6,9,7
119,8,5,12,2,10,1,13,3,6,11,7,14,9,4
121,10,3,11,14,13,7,9,8,1,12,4,6,2,5
122,9,5,8,6,12,2,1,4,10,13,11,14,7,3
124,9,6,8,12,3,5,7,4,2,10,11,13,14,1
